"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"84","amorpha","amorpha","",NA,NA,NA,"","","",FALSE,"1.1","","","amorpha","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"85","phlox","phlox","",NA,NA,NA,"","","",FALSE,"1.1","","","phlox","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"86","dipladenia","dipladenia","",NA,NA,NA,"","","",FALSE,"1.1","","","dipladenia","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"87","verbena","verbena","",NA,NA,NA,"","","",FALSE,"1.1","","","verbena","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"88","agastache","agastache","",NA,NA,NA,"","","",FALSE,"1.1","","","agastache","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"89","lantana","lantana","",NA,NA,NA,"","","",FALSE,"1.1","","","lantana","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"90","lantana","lantana","",NA,NA,NA,"","","",FALSE,"1.1","","","lantana","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"91","milkweek","milkweek","",NA,NA,NA,"","","",FALSE,"1.1","","","milkweek","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"92","hydrangea","hydrangea","",NA,NA,NA,"","","",FALSE,"1.1","","","hydrangea","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"93","achillea millefolium","achillea","","millefolium",NA,NA,"","","gcc-140712",TRUE,"1.1","Accepted","Compositae","Achillea","","millefolium","","","L.","gcc-140712","Accepted",FALSE,FALSE,FALSE,2019-08-12
"94","geranium","geranium","",NA,NA,NA,"","","",FALSE,"1.1","","","geranium","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"95","lantana","lantana","",NA,NA,NA,"","","",FALSE,"1.1","","","lantana","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"96","gazania daisy","gazania","","daisy",NA,NA,"","","",FALSE,"1.1","","","gazania","","daisy",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"97","leucophyllum frutescens","leucophyllum","","frutescens",NA,NA,"","","tro-29201024",TRUE,"1.1","Accepted","Scrophulariaceae","Leucophyllum","","frutescens","","","(Berland.) I.M. Johnst.","tro-29201024","Accepted",FALSE,FALSE,FALSE,2019-08-12
"98","hesperaloe parviflora","hesperaloe","","parviflora",NA,NA,"","","kew-277924",TRUE,"1.1","Accepted","Asparagaceae","Hesperaloe","","parviflora","","","(Torr.) J.M.Coult.","kew-277924","Accepted",FALSE,FALSE,FALSE,2019-08-12
"99","oenothera speciosa","oenothera","","speciosa",NA,NA,"","","kew-2399493",TRUE,"1.1","Accepted","Onagraceae","Oenothera","","speciosa","","","Nutt.","kew-2399493","Accepted",FALSE,FALSE,FALSE,2019-08-12
"100","impatiens","impatiens","",NA,NA,NA,"","","",FALSE,"1.1","","","impatiens","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"101","impatiens","impatiens","",NA,NA,NA,"","","",FALSE,"1.1","","","impatiens","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"102","rose, cultivated","rose,","","cultivated",NA,NA,"","","",FALSE,"1.1","","","rose,","","cultivated",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"103","convolvulus arvensis","convolvulus","","arvensis",NA,NA,"","","tro-8500005",TRUE,"1.1","Accepted","Convolvulaceae","Convolvulus","","arvensis","","","L.","tro-8500005","Accepted",FALSE,FALSE,FALSE,2019-08-12
"104","centaurea americana","centaurea","","americana",NA,NA,"","","gcc-98023",TRUE,"1.1","Synonym","Compositae","Centaurea","","melitensis","","","L.","gcc-105188","Accepted",FALSE,FALSE,FALSE,2019-08-12
"105","monorda citriodora","monorda","","citriodora",NA,NA,"","","",FALSE,"1.1","","","monorda","","citriodora",NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
"106","sunflower","sunflower","",NA,NA,NA,"","","",FALSE,"1.1","","","sunflower","",NA,NA,"","","","",FALSE,FALSE,FALSE,2019-08-12
